district,state,year,rainfall_mm,anomaly,H1_percentile,H2_zscore_pct,H3,H4,H5,H6,H7,Tier1_Hazard
agra,uttar pradesh,1990,889.0731399,3.488261189,0.500237865,0.495357554,4.999999999,0.018867925,1,0.714285714,0.68480325,0.311948186
agra,uttar pradesh,1991,549.4561341,-2.917120403,0.44102975,0.396922209,3.285714285,0.019230769,1,0.571428571,0.449506108,0.280762991
agra,uttar pradesh,1992,543.0769121,-3.025247281,0.43769313,0.389125716,4.142857142,0,1,0.857142857,0.297527354,0.277641089
agra,uttar pradesh,1993,983.4783689,5.429461035,0.511990467,0.457518666,4.857142856,0.038461538,1,0.571428571,1,0.316352709
agra,uttar pradesh,1994,784.2774545,1.59867422,0.529220085,0.489047578,5.428571428,0,1,0.857142857,0.33013144,0.315057534
agra,uttar pradesh,1995,818.7051211,2.260744732,0.501203978,0.483300052,4.857142856,0.019230769,1,0.857142857,0.509161159,0.309593102
agra,uttar pradesh,1996,933.0975843,4.318911084,0.55812369,0.529200562,6.714285713,0.018867925,1,0.714285714,0.393276895,0.333166242
agra,uttar pradesh,1997,769.5091251,1.314667885,0.500336949,0.453498871,4.857142856,0.009615385,1,0.571428571,0.446514003,0.302663436
agra,uttar pradesh,1998,818.7534809,2.276225197,0.510038626,0.482753082,6.714285713,0.009615385,1,1,0.458306558,0.316433981
agra,uttar pradesh,1999,716.3639385,0.292645066,0.537956114,0.489837645,6.142857142,0,1,1,0.299141087,0.319144838
agra,uttar pradesh,2000,720.0159842,0.362876714,0.506829389,0.503663831,4.142857142,0,1,1,0.331869203,0.31203377
agra,uttar pradesh,2001,640.4159943,-1.203383068,0.5154209,0.476702585,4.999999999,0,1,0.714285714,0.22833609,0.307823531
agra,uttar pradesh,2002,505.1667366,-3.768839586,0.453759862,0.431068762,3.285714285,0.009615385,1,0.714285714,0.407889218,0.287358078
agra,uttar pradesh,2003,753.7658861,1.011913288,0.510363248,0.463222782,5.999999999,0,1,1,0.219234362,0.308797121
agra,uttar pradesh,2004,615.5157757,-1.632192211,0.494238988,0.446396944,3.999999999,0,1,0.428571429,0.31910701,0.299499312
agra,uttar pradesh,2005,577.9095021,-2.369940249,0.474375411,0.44945303,4.714285714,0,1,0.714285714,0.231445767,0.290121937
agra,uttar pradesh,2006,564.4239506,-2.629277778,0.466358481,0.432848585,3.857142857,0,1,0.571428571,0.277791978,0.28821275
agra,uttar pradesh,2007,645.7840834,-1.102098367,0.504962909,0.478448827,4.142857142,0,1,0.857142857,0.305597439,0.306780377
agra,uttar pradesh,2008,974.0856305,5.248831451,0.530941815,0.500164959,7.285714285,0,1,0.857142857,0.32483846,0.320866668
agra,uttar pradesh,2009,569.1989997,-2.522899441,0.441933761,0.447764369,3.428571428,0.019230769,1,0.714285714,0.397680072,0.293096905
agra,uttar pradesh,2010,899.070053,3.806224191,0.548344017,0.52108439,6.428571428,0.009615385,1,0.714285714,0.484865471,0.328782039
agra,uttar pradesh,2011,913.6093431,4.085825924,0.563991617,0.523550096,6.57142857,0,1,1,0.315742304,0.335174781
agra,uttar pradesh,2012,841.0080207,2.581372148,0.469311401,0.4407002,5.428571428,0.009433962,1,1,0.384054204,0.297954735
agra,uttar pradesh,2013,896.543183,3.757630537,0.564690171,0.572430109,6.142857142,0.009615385,1,1,0.364127412,0.332285377
agra,uttar pradesh,2014,505.0852669,-3.770406311,0.4366905,0.426310991,3.857142857,0,1,0.571428571,0.335065914,0.278352563
agra,uttar pradesh,2015,637.4398588,-1.210575228,0.489275148,0.496735544,4.857142856,0.009615385,1,0.571428571,0.366232549,0.306089632
agra,uttar pradesh,2016,764.1496932,1.211601887,0.487721893,0.464533773,5.428571428,0,1,0.857142857,0.275147986,0.304557833
agra,uttar pradesh,2017,697.5085847,-0.069957892,0.467640533,0.452166175,4.857142856,0,1,1,0.288036113,0.290275147
agra,uttar pradesh,2018,1014.503133,5.854864834,0.561723915,0.540542613,7.428571428,0,1,1,0.272638019,0.33450698
agra,uttar pradesh,2019,804.3510512,1.984704925,0.567426857,0.52752648,5.571428571,0.009615385,1,0.428571429,0.393460167,0.322419887
agra,uttar pradesh,2020,736.3825128,0.692168118,0.533189513,0.538656885,6.714285713,0,1,0.857142857,0.306890222,0.317954888
agra,uttar pradesh,2021,897.447489,3.775021037,0.531389711,0.523550096,5.857142856,0.009615385,1,0.714285714,0.372389069,0.326502996
agra,uttar pradesh,2022,693.0244844,-0.15619059,0.451692965,0.422512589,4.999999999,0,1,0.571428571,0.293062983,0.284100943
agra,uttar pradesh,2023,709.6551396,0.163629703,0.513227318,0.488856572,4.999999999,0,1,0.857142857,0.253135176,0.311357668
agra,uttar pradesh,2024,1134.05032,8.110472127,0.55774875,0.536096086,8.857142856,0.018867925,1,1,0.571944603,0.344542828
agra,uttar pradesh,2025,1121.128201,9.875503704,0.638123633,0.60882986,7.428571428,0.058139535,1,0.571428571,0.401586597,0.367332126
ahmadabad,gujarat,1980,0,-0.068276827,0.459188034,0.736103467,0,0,0.571428571,0,0,0.257371718
ahmadabad,gujarat,1981,938.4748005,3.990036917,0.513736851,0.379609246,4.571428571,0.044871795,1,0.428571429,0.678814486,0.307548385
ahmadabad,gujarat,1982,367.0184777,-6.997669417,0.458953813,0.33438995,2.285714285,0.012820513,1,0.714285714,0.600050961,0.271122537
ahmadabad,gujarat,1983,940.9630582,4.039726362,0.559549638,0.426543118,6.428571428,0.006410256,1,0.857142857,0.359617449,0.319049917
ahmadabad,gujarat,1984,594.1755026,-2.580944558,0.452205289,0.348589319,3.571428571,0.012578616,1,0.428571429,0.692442449,0.276753021
ahmadabad,gujarat,1985,445.6251955,-5.486001768,0.459163379,0.349678252,2.857142857,0.012820513,1,0.571428571,0.415045432,0.277421938
ahmadabad,gujarat,1986,504.4661156,-4.354445611,0.443343195,0.317291817,3.999999999,0,1,0.571428571,0.32968833,0.266263972
ahmadabad,gujarat,1987,256.5090943,-9.124688201,0.419259533,0.303845095,3,0,1,0.428571429,0.242559361,0.258782946
ahmadabad,gujarat,1988,800.0112634,1.329114924,0.469477318,0.387007324,6.142857142,0.019230769,1,0.857142857,0.702751987,0.294263528
ahmadabad,gujarat,1989,665.9075874,-1.249801923,0.49241453,0.372496931,5.142857142,0.006410256,1,0.714285714,0.546902651,0.292478364
ahmadabad,gujarat,1990,662.8969912,-1.284312698,0.525766005,0.399824509,4.142857142,0.018867925,1,0.428571429,0.459294402,0.302479078
ahmadabad,gujarat,1991,449.4885882,-5.411705753,0.427136752,0.295489183,3.285714285,0.019230769,1,0.571428571,0.38114577,0.263593427
ahmadabad,gujarat,1992,654.9146687,-1.46304254,0.481048652,0.342724694,4.285714285,0.025641026,1,0.571428571,0.495925777,0.284909746
ahmadabad,gujarat,1993,729.709056,-0.022850603,0.465405161,0.356245502,4.857142856,0.019230769,1,1,0.64947426,0.288765225
ahmadabad,gujarat,1994,1086.185156,6.832459016,0.510005753,0.40973604,5.428571428,0.038461538,1,0.571428571,0.73335916,0.315175918
ahmadabad,gujarat,1995,542.1292501,-3.630154563,0.454717291,0.324806316,3.428571428,0.006410256,1,0.428571429,0.473856206,0.269669153
ahmadabad,gujarat,1996,808.979201,1.471955411,0.491215127,0.387405115,5.999999999,0.006289308,1,1,0.622945665,0.300962796
ahmadabad,gujarat,1997,776.2905951,0.872948226,0.492989809,0.378963634,3.999999999,0.032051282,1,0.857142857,0.605846906,0.295205862
ahmadabad,gujarat,1998,898.6942297,3.225025941,0.499687705,0.383631091,6.714285713,0.025641026,1,0.857142857,0.957940967,0.308270151
ahmadabad,gujarat,1999,564.066621,-3.208282046,0.485285174,0.372481055,4.714285714,0.006410256,1,0.571428571,0.695526055,0.2889875
ahmadabad,gujarat,2000,694.6101931,-0.697828736,0.470475838,0.353842979,3.857142857,0.025641026,1,0.714285714,0.862043994,0.289855769
ahmadabad,gujarat,2001,566.8391595,-3.096724617,0.480003225,0.37457555,4.571428571,0.006289308,1,0.571428571,0.587866617,0.291429183
ahmadabad,gujarat,2002,312.8447863,-8.039471174,0.428665352,0.315905338,3.142857142,0,1,0.714285714,0.334658865,0.263728071
ahmadabad,gujarat,2003,863.806855,2.555953224,0.500632807,0.377905254,4.857142856,0.032051282,1,0.571428571,0.692353199,0.301512845
ahmadabad,gujarat,2004,840.71187,2.109980562,0.480567883,0.372354049,5.571428571,0.032051282,1,1,0.444591972,0.29788698
ahmadabad,gujarat,2005,961.2093693,4.429078499,0.49260355,0.366125482,6.285714285,0.025641026,1,1,0.520832459,0.302694272
ahmadabad,gujarat,2006,1187.616386,8.783059593,0.539780572,0.415567715,6.285714285,0.038461538,1,0.714285714,0.619090587,0.320255569
ahmadabad,gujarat,2007,1174.833927,8.37487477,0.543533301,0.431656992,5.714285713,0.031446541,1,0.571428571,1,0.326662042
ahmadabad,gujarat,2008,700.4220156,-0.586062919,0.507938856,0.394109056,4.285714285,0.025641026,1,0.571428571,0.462789958,0.300076624
ahmadabad,gujarat,2009,697.5838983,-0.642480432,0.46913215,0.336586089,3.999999999,0.012820513,1,1,0.59127797,0.28390544
ahmadabad,gujarat,2010,1240.91793,9.808089279,0.611217949,0.500391601,7.285714285,0.044871795,1,0.571428571,0.518712606,0.349866964
ahmadabad,gujarat,2011,898.2020806,3.21739987,0.515964004,0.414064815,6.285714285,0.025641026,1,0.857142857,0.445207377,0.309778675
ahmadabad,gujarat,2012,656.3548419,-1.407749477,0.463522013,0.37119033,5.714285713,0.006289308,1,0.714285714,0.388143127,0.292085067
ahmadabad,gujarat,2013,951.58708,4.244034474,0.556356838,0.4667404,7.285714285,0,1,0.714285714,0.338569577,0.324380708
ahmadabad,gujarat,2014,779.7602938,0.939673201,0.492266601,0.376582278,4.285714285,0.025641026,1,0.857142857,0.828319454,0.298029229
ahmadabad,gujarat,2015,840.0859912,2.097944431,0.454573471,0.337274036,3.428571428,0.032051282,1,0.857142857,0.733120143,0.286804562
ahmadabad,gujarat,2016,887.8557248,3.018431489,0.500513642,0.407143008,6.285714285,0.025641026,1,0.857142857,0.426052514,0.311263648
ahmadabad,gujarat,2017,1077.814518,6.67148521,0.549132972,0.433602515,5.999999999,0.038461538,1,0.714285714,0.661813286,0.323698491
