state,year,human_val,children_val,cyber_val,kidnapping_val,vulnerability
sikkim,2023,0,6968,4121,496,0.132237704
tamil nadu,2017,13,3529,228,1027,0.079107966
tamil nadu,2018,8,4155,1205,1097,0.119057248
tamil nadu,2019,16,4139,2691,898,0.136238761
tamil nadu,2020,184,4200,5024,2056,0.464702104
tamil nadu,2021,347,5667,10303,2760,0.621293436
tamil nadu,2022,391,5657,15297,2981,0.613872002
tamil nadu,2023,336,6113,18236,3174,0.540581486
telangana,2017,329,3580,1209,1560,0.347595393
telangana,2018,242,3747,20,1810,0.263078273
telangana,2019,137,4212,20,2127,0.207407954
telangana,2020,1,260,34,127,0.00837621
telangana,2021,1,236,24,136,0.006703308
telangana,2022,0,220,30,105,0.004641798
telangana,2023,18,255,36,132,0.016747724
tripura,2017,2,276,7,122,0.006776156
tripura,2018,2,271,6280,166,0.256818568
tripura,2019,1,311,11416,166,0.244467157
tripura,2020,90,15271,11097,12913,0.846747503
tripura,2021,103,16838,8829,14554,0.757993162
tripura,2022,126,18682,10117,16263,0.720844592
tripura,2023,155,18852,10794,16663,0.68360164
uttar pradesh,2017,46,19145,4971,19921,0.780831099
uttar pradesh,2018,35,19936,171,21711,0.534942373
uttar pradesh,2019,48,18943,100,16590,0.536340612
uttar pradesh,2020,9,1066,243,768,0.048212989
uttar pradesh,2021,16,1245,718,819,0.059239358
uttar pradesh,2022,16,1706,559,1169,0.057774338
uttar pradesh,2023,21,1710,494,1264,0.057144622
uttarakhand,2017,20,829,124,800,0.040455951
uttarakhand,2018,29,1306,335,1177,0.066484543
uttarakhand,2019,20,1214,524,967,0.058380423
uttarakhand,2020,59,10248,712,9309,0.427052078
uttarakhand,2021,61,9523,513,8339,0.323803815
uttarakhand,2022,67,8950,401,8088,0.281422011
uttarakhand,2023,56,8853,309,8233,0.26191198
west bengal,2017,357,6551,568,5205,0.418672498
west bengal,2018,172,6286,7,5191,0.277074706
west bengal,2019,172,6286,2,5191,0.310734391
west bengal,2020,0,141,5,27,0.002678769
west bengal,2021,0,124,8,7,0.001918262
west bengal,2022,0,146,28,15,0.002334207
west bengal,2023,0,161,47,22,0.0025753
