State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Eastern,Batticaloa,2020,4.0,0.0,0.0,0.0,0.0,0.0,9.0,47.0,0.0,0.0,8.0,2.0,0.0,0.0,17.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2196727633868204
Eastern,Batticaloa,2021,1.0,1.0,0.0,0.0,1.0,0.0,18.0,27.0,1.0,0.0,8.0,1.0,3.0,0.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2656044451826542
Eastern,Batticaloa,2022,0.0,0.0,0.0,0.0,0.0,1.0,31.0,34.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331492094107194
Eastern,Batticaloa,2023,1.0,,1.0,,,,17.0,45.0,,,4.0,,2.0,,19.0,32.0,,,,,,1.0,,0.522286844282113
Eastern,Batticaloa,2024,0.0,0.0,1.0,1.0,0.0,1.0,18.0,43.0,0.0,1.0,5.0,0.0,4.0,0.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318679283279446
Western,Colombo,2020,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,4.0,0.13219488685844624
Western,Colombo,2021,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.09971406477678933
Western,Colombo,2022,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,8.0,5.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.15319532978797995
Western,Colombo,2023,1.0,,1.0,,1.0,,1.0,4.0,,,3.0,,1.0,,5.0,6.0,,,,,59.0,,,0.348059262248532
Western,Colombo,2024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.08565955983884894
