State,District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Hazard Score
Maharashtra,Wardha,2023,1086.640782,9.249420421,40,2,76,24,70.58515496,0.417339619
Maharashtra,Wardha,2024,1224.846603,147.4552413,43,2,68,44,69.2102393,0.558334266
Maharashtra,Wardha,2025,1247.671732,170.2803709,37,1,91,24,118.2027605,0.508545506
Maharashtra,Washim,2010,1157.884429,252.7546315,47,3,81,17,76.38770334,0.57045979
Maharashtra,Washim,2011,736.696689,-168.4331085,33,0,102,21,28.75398478,0.212834022
Maharashtra,Washim,2012,797.9534624,-107.1763351,35,0,158,15,48.50639188,0.332065049
Maharashtra,Washim,2013,1279.908718,374.7789206,38,5,60,8,97.91909037,0.549761036
Maharashtra,Washim,2014,723.905172,-181.2246255,30,2,46,10,71.74857481,0.181162477
Maharashtra,Washim,2015,792.019859,-113.1099385,28,2,88,13,135.6138685,0.357935812
Maharashtra,Washim,2016,972.9425104,67.81271291,39,1,83,19,69.22092428,0.386277772
Maharashtra,Washim,2017,646.4861231,-258.6436744,29,0,147,9,45.02111053,0.18920288
Maharashtra,Washim,2018,755.6010498,-149.5287477,31,1,97,17,83.67237974,0.292764367
Maharashtra,Washim,2019,736.6604398,-168.4693577,34,0,81,20,46.66797427,0.213524507
Maharashtra,Washim,2020,894.4372363,-10.69256125,45,0,69,18,34.82400239,0.305676396
Maharashtra,Washim,2021,1062.504974,157.3751766,39,1,71,20,60.85641108,0.383702362
Maharashtra,Washim,2022,959.4594969,54.32969935,37,0,143,24,46.98652579,0.410269725
Maharashtra,Washim,2023,891.5952446,-13.53455294,37,1,76,18,53.81348921,0.308120595
Maharashtra,Washim,2024,995.8420058,90.71220826,43,0,70,43,44.3896782,0.4502693
Maharashtra,Washim,2025,1078.17935,173.0495523,40,1,91,14,63.15978798,0.401381541
Maharashtra,Yavatmal,2010,1280.108107,219.2377976,45,2,91,14,94.43440721,0.574027322
Maharashtra,Yavatmal,2011,838.2665746,-222.6037345,32,0,105,24,42.32318309,0.30029686
Maharashtra,Yavatmal,2012,1004.149438,-56.72087064,34,2,116,20,83.49416656,0.507061756
Maharashtra,Yavatmal,2013,1487.009719,426.13941,44,6,66,15,79.45105874,0.637498828
Maharashtra,Yavatmal,2014,807.9567758,-252.9135334,26,2,65,15,71.30882694,0.246948563
Maharashtra,Yavatmal,2015,925.1747712,-135.6955379,29,4,62,13,98.10392412,0.394357289
Maharashtra,Yavatmal,2016,1148.495696,87.62538681,43,3,83,25,76.31655162,0.558474039
Maharashtra,Yavatmal,2017,713.1919096,-347.6783996,23,0,71,12,46.29537329,0.088422911
Maharashtra,Yavatmal,2018,949.6306175,-111.2396917,33,2,75,14,73.61023733,0.342844799
Maharashtra,Yavatmal,2019,830.2890193,-230.5812898,28,2,107,24,55.0679451,0.364944837
Maharashtra,Yavatmal,2020,888.8282818,-172.0420273,30,0,65,23,29.83922711,0.175266348
Maharashtra,Yavatmal,2021,1155.789902,94.91959324,44,1,49,18,50.75537752,0.336059543
Maharashtra,Yavatmal,2022,1330.583757,269.7134483,43,4,125,28,89.40978666,0.765671488
Maharashtra,Yavatmal,2023,1145.367697,84.49738784,41,3,76,18,91.13133463,0.528639306
Maharashtra,Yavatmal,2024,1164.7854,103.9150909,40,1,67,43,74.66664145,0.545566736
Maharashtra,Yavatmal,2025,1304.297279,243.4269702,50,2,91,25,59.70372949,0.584447084
Manipur,Bishnupur,2010,1690.135146,285.1509278,43,4,25,19,86.4944809,0.507217056
Manipur,Bishnupur,2011,2334.097955,929.1137367,62,6,69,16,106.9317537,0.7965985
Manipur,Bishnupur,2012,1971.791188,566.8069689,57,5,122,28,84.51388397,0.848391769
Manipur,Bishnupur,2013,1548.274931,143.2907122,40,6,70,13,111.6780579,0.618077134
Manipur,Bishnupur,2014,1060.433099,-344.5511193,28,2,61,10,117.7290878,0.383291011
Manipur,Bishnupur,2015,1397.063857,-7.920361507,38,5,60,17,86.48103485,0.529567231
Manipur,Bishnupur,2016,1542.114147,137.1299287,39,3,44,11,92.94865875,0.433376965
Manipur,Bishnupur,2017,2018.270285,613.2860662,45,6,47,14,94.61440277,0.621896917
Manipur,Bishnupur,2018,1190.685386,-214.298833,37,2,56,13,72.68034058,0.355525646
Manipur,Bishnupur,2019,853.0131035,-551.9711152,17,1,48,7,55.04617996,0.122760647
Manipur,Bishnupur,2020,1177.507181,-227.4770382,31,2,59,7,54.4380127,0.255368955
Manipur,Bishnupur,2021,903.6251384,-501.3590804,25,1,45,6,52.74133987,0.140589479
Manipur,Bishnupur,2022,1338.513417,-66.47080168,35,2,61,12,100.1594009,0.419739957
Manipur,Bishnupur,2023,801.3789299,-603.6052889,17,0,78,24,33.74412346,0.227428928
Manipur,Bishnupur,2024,1334.05143,-70.93278894,39,2,32,19,62.23990936,0.362021147
Manipur,Bishnupur,2025,1318.792305,-86.19191347,32,0,54,12,45.80530777,0.231036611
Manipur,Chandel,2010,1681.225909,423.9614554,49,4,25,19,88.72931385,0.615986519
Manipur,Chandel,2011,1314.233411,56.96895733,36,2,71,14,66.14789486,0.451127681
Manipur,Chandel,2012,1024.703562,-232.5608916,32,0,122,13,44.89653015,0.386963487
Manipur,Chandel,2013,1532.78549,275.5210358,43,5,70,13,109.2294931,0.650362979
Manipur,Chandel,2014,1048.147537,-209.1169174,30,2,61,10,116.1764221,0.426574857
Manipur,Chandel,2015,1396.302751,139.0382972,43,5,60,17,86.98465157,0.613721715
Manipur,Chandel,2016,1529.444769,272.1803149,43,3,44,11,93.38977909,0.508651623
Manipur,Chandel,2017,2012.647237,755.3827827,52,7,47,14,96.01284409,0.745492532
Manipur,Chandel,2018,1178.720227,-78.54422679,41,2,56,13,73.3397131,0.434130956
Manipur,Chandel,2019,844.0215335,-413.2429206,21,1,48,7,55.387815,0.171669969
Manipur,Chandel,2020,1179.022888,-78.24156635,35,2,59,7,54.56683636,0.318647388
Manipur,Chandel,2021,902.0026347,-355.2618193,29,1,45,6,52.51194859,0.194807478
Manipur,Chandel,2022,1333.165223,75.90076859,38,2,61,12,99.79569054,0.488182623
Manipur,Chandel,2023,705.9118175,-551.3526366,15,0,74,23,26.33578515,0.250859107
Manipur,Chandel,2024,1130.885337,-126.379117,39,1,33,18,50.99447346,0.363258588
Manipur,Chandel,2025,1303.010938,45.7464836,39,1,60,12,61.39833832,0.392081044
Manipur,Churachandpur,2010,2119.59022,464.2703451,49,3,25,56,77.50908113,0.539700842
Manipur,Churachandpur,2011,2537.972606,882.6527314,63,8,41,16,131.3777795,0.685883222
Manipur,Churachandpur,2012,2473.148236,817.8283613,59,10,80,28,90.43421936,0.796155318
Manipur,Churachandpur,2013,1504.273972,-151.0459024,29,4,48,15,78.11369789,0.34043212
Manipur,Churachandpur,2014,1279.930734,-375.3891404,26,1,61,20,77.04932281,0.317778553
Manipur,Churachandpur,2015,1598.885196,-56.4346787,42,1,34,26,63.01826112,0.315435304
Manipur,Churachandpur,2016,2044.035993,388.7161185,43,3,45,31,98.72219801,0.510068067
Manipur,Churachandpur,2017,2408.758289,753.4384148,59,5,47,31,107.2310157,0.648264294
Manipur,Churachandpur,2018,1491.284221,-164.0356533,35,2,56,15,71.97707343,0.337907205
Manipur,Churachandpur,2019,1174.514772,-480.8051025,16,0,48,17,43.83213019,0.150634708
Manipur,Churachandpur,2020,1459.847325,-195.4725491,27,1,57,30,56.76789033,0.331003362
Manipur,Churachandpur,2021,1310.76496,-344.5549144,33,1,45,16,61.76475477,0.250854463
Manipur,Churachandpur,2022,1780.50488,125.1850056,40,3,61,29,93.46565151,0.507012995
Manipur,Churachandpur,2023,778.7303615,-876.5895129,9,0,74,24,35.9870075,0.185070214
Manipur,Churachandpur,2024,1194.687166,-460.6327081,27,1,33,16,53.94271934,0.171308705
Manipur,Churachandpur,2025,1328.189059,-327.130815,28,0,60,34,46.83899295,0.312953418
Manipur,Imphal East,2010,1871.27147,383.9682365,46,2,25,30,66.81966291,0.495415034
Manipur,Imphal East,2011,1656.69295,169.3897171,48,1,71,16,57.82073433,0.483894236
Manipur,Imphal East,2012,1619.245416,131.9421822,42,5,80,15,70.45306832,0.636725114
Manipur,Imphal East,2013,1567.246788,79.94355461,39,4,47,25,90.15879386,0.582703724
Manipur,Imphal East,2014,1173.171441,-314.1317924,27,1,61,16,105.4478128,0.401029274
Manipur,Imphal East,2015,1444.526529,-42.77670454,40,4,60,18,78.36875807,0.542822853
Manipur,Imphal East,2016,1677.565759,190.2625254,39,3,45,29,88.74132538,0.576911927
Manipur,Imphal East,2017,2138.732172,651.4289388,51,5,47,22,92.28218079,0.747336531
Manipur,Imphal East,2018,1349.763583,-137.5396507,36,2,53,13,69.6645377,0.374113824
Manipur,Imphal East,2019,1023.310295,-463.9929385,16,0,48,22,45.50547573,0.135354434
Manipur,Imphal East,2020,1355.315927,-131.987306,30,0,56,45,47.44284603,0.399971211
Manipur,Imphal East,2021,1011.27479,-476.0284434,24,0,44,16,48.89362608,0.136758804
Manipur,Imphal East,2022,1473.093027,-14.21020678,35,1,61,23,90.55151912,0.482725929
Manipur,Imphal East,2023,1135.683413,-351.6198207,29,0,74,37,38.69540324,0.353780346
Manipur,Imphal East,2024,1752.322149,265.0189158,46,2,32,19,80.49099132,0.475886195
Manipur,Imphal East,2025,1547.636026,60.33279258,37,2,54,26,62.7913426,0.461703991
Manipur,Imphal West,2010,1740.721632,321.2780213,42,2,25,22,75.79134274,0.489787711
Manipur,Imphal West,2011,1954.759307,535.3156956,61,3,71,16,67.78932536,0.616364337
Manipur,Imphal West,2012,2005.593113,586.1495014,51,9,122,15,102.8195457,0.851085192
Manipur,Imphal West,2013,1541.636679,122.193068,37,5,48,15,103.8510094,0.528960948
Manipur,Imphal West,2014,1060.675255,-358.7683558,28,2,61,10,116.649971,0.368538844
Manipur,Imphal West,2015,1390.014717,-29.42889449,38,5,60,17,85.35512161,0.50989163
Manipur,Imphal West,2016,1537.600804,118.1571928,37,3,48,11,90.63414383,0.423058787
Manipur,Imphal West,2017,2014.51548,595.0718691,47,5,47,14,87.77763176,0.591101068
Manipur,Imphal West,2018,1236.260321,-183.1832901,37,2,53,13,69.3867178,0.341283825
Manipur,Imphal West,2019,910.7918207,-508.6517904,18,1,48,9,51.82946205,0.114387162
Manipur,Imphal West,2020,1221.619496,-197.8241155,32,0,59,14,48.99400616,0.257983511
Manipur,Imphal West,2021,892.3180794,-527.1255318,23,0,44,6,48.5723505,0.06906121
Manipur,Imphal West,2022,1344.37942,-75.06419096,35,1,61,12,96.0506115,0.39361876
Manipur,Imphal West,2023,899.7901529,-519.6534582,20,0,74,22,40.82180977,0.249916861
Manipur,Imphal West,2024,1557.020107,137.5764959,44,3,32,19,80.77056599,0.48233498
Manipur,Imphal West,2025,1403.401394,-16.04221703,35,2,54,23,56.12781906,0.428970372
Manipur,Senapati,2010,1853.020699,417.7379722,52,1,29,24,84.26481616,0.558832724
Manipur,Senapati,2011,1492.178329,56.89560239,39,1,71,19,57.52397501,0.430648956
Manipur,Senapati,2012,1305.263968,-130.0187581,31,2,122,19,87.80974197,0.588448318
Manipur,Senapati,2013,1512.06714,76.78441355,40,3,47,25,61.90472543,0.557715067
Manipur,Senapati,2014,1158.764843,-276.5178835,27,1,47,18,100.7901225,0.384269822
Manipur,Senapati,2015,1340.425783,-94.85694377,35,1,30,18,60.73368108,0.31928636
Manipur,Senapati,2016,1627.90789,192.6251635,48,1,48,19,75.31183171,0.488152041
Manipur,Senapati,2017,2024.449199,589.1664723,56,2,47,19,55.32171559,0.585335746
Manipur,Senapati,2018,1556.388234,121.1055081,49,1,52,14,54.40784824,0.40545981
Manipur,Senapati,2019,1147.547959,-287.7347669,26,1,45,14,51.21777177,0.230859368
Manipur,Senapati,2020,1452.66447,17.38174383,34,0,56,36,35.85124338,0.388924127
Manipur,Senapati,2021,864.4230393,-570.8596871,16,0,44,12,29.73099673,0.02688172
Manipur,Senapati,2022,1336.8836,-98.39912601,30,1,61,29,66.00184894,0.44224485
Manipur,Senapati,2023,1124.74151,-310.5412159,28,0,73,28,40.82446909,0.303384741
Manipur,Senapati,2024,1609.225378,173.9426517,37,3,33,33,75.3140471,0.621091309
Manipur,Senapati,2025,1558.57158,123.2888538,37,2,54,23,69.64418066,0.513149566
Manipur,Tamenglong,2010,1851.388064,354.3078868,45,3,25,36,76.87781455,0.557861378
Manipur,Tamenglong,2011,1941.488402,444.4082248,53,2,71,36,68.24088074,0.698120231
Manipur,Tamenglong,2012,1891.295497,394.2153195,49,6,80,19,90.87680359,0.781762489
Manipur,Tamenglong,2013,1541.874792,44.79461489,39,4,47,25,85.6441658,0.545083772
Manipur,Tamenglong,2014,1161.820697,-335.2594801,27,1,61,13,103.0086863,0.375327883
Manipur,Tamenglong,2015,1389.276703,-107.8034745,36,1,30,18,69.96581116,0.298767507
Manipur,Tamenglong,2016,1649.876918,152.7967406,40,3,48,19,82.82658717,0.503607479
Manipur,Tamenglong,2017,2080.535263,583.455086,54,5,47,16,73.58727398,0.646496553
Manipur,Tamenglong,2018,1407.34814,-89.73203734,38,2,52,14,60.75375875,0.361719158
Manipur,Tamenglong,2019,1101.304783,-395.7753937,18,0,48,22,44.65221329,0.155755778
Manipur,Tamenglong,2020,1343.001022,-154.0791549,29,0,56,46,40.90750163,0.378612125
Manipur,Tamenglong,2021,959.1188821,-537.9612951,23,0,44,16,45.13637517,0.116569007
Manipur,Tamenglong,2022,1436.089711,-60.99046585,33,1,61,23,82.88563741,0.443616029
Manipur,Tamenglong,2023,1102.899673,-394.1805039,27,0,74,27,36.93222084,0.282227513
Manipur,Tamenglong,2024,1594.916988,97.83681103,40,2,32,24,73.43863373,0.420749628
Manipur,Tamenglong,2025,1501.047299,3.96712191,34,2,54,27,70.82744687,0.454252695
Manipur,Thoubal,2010,1714.521252,426.2401239,46,2,25,19,81.02760468,0.540602493
Manipur,Thoubal,2011,1345.829178,57.54804942,39,2,71,16,55.66565266,0.456028497
Manipur,Thoubal,2012,993.5599909,-294.7211376,29,0,122,14,41.28000183,0.341304506
Manipur,Thoubal,2013,1543.496588,255.2154599,44,5,48,15,107.964328,0.649181973
Manipur,Thoubal,2014,1049.93719,-238.3439381,30,2,61,10,118.8638535,0.425928193
Manipur,Thoubal,2015,1391.42594,103.1448112,41,5,60,17,87.27055969,0.608384722
Manipur,Thoubal,2016,1518.530638,230.2495095,42,3,44,11,92.64048767,0.509063063
Manipur,Thoubal,2017,2005.368509,717.0873801,49,6,47,14,92.938974,0.727979087
Manipur,Thoubal,2018,1195.174701,-93.10642714,43,2,56,13,72.03190918,0.437433354
Manipur,Thoubal,2019,862.7177884,-425.5633401,20,1,48,5,54.40839233,0.12775631
Manipur,Thoubal,2020,1198.816814,-89.46431486,37,2,59,7,51.83230515,0.321731983
Manipur,Thoubal,2021,891.2166574,-397.0644711,28,1,67,6,50.31283035,0.206271039
Manipur,Thoubal,2022,1330.406043,42.1249149,37,2,61,12,98.34231415,0.477688418
Manipur,Thoubal,2023,818.7157611,-469.5653674,17,0,74,25,34.94544907,0.250859107
Manipur,Thoubal,2024,1383.52954,95.24841104,45,2,32,19,68.78896866,0.476626887
Manipur,Thoubal,2025,1369.251465,80.97033633,38,1,54,23,50.11411133,0.444430109
Manipur,Ukhrul,2010,1827.006508,446.644664,47,1,29,41,59.99470005,0.585012978
Manipur,Ukhrul,2011,978.4348942,-401.9269499,24,0,69,17,47.77987289,0.209213349
Manipur,Ukhrul,2012,712.2000926,-668.1617515,18,1,123,16,52.09006939,0.335535657
Manipur,Ukhrul,2013,1512.907788,132.5459436,40,2,47,25,51.65271568,0.521798579
Manipur,Ukhrul,2014,1184.205549,-196.1562949,31,1,47,18,101.6582504,0.438368047
Manipur,Ukhrul,2015,1393.741114,13.37927034,37,1,30,18,59.67122729,0.360053017
Manipur,Ukhrul,2016,1644.489808,264.1279642,49,1,48,15,75.49099579,0.490029646
Manipur,Ukhrul,2017,2024.312831,643.9509866,58,2,47,19,57.26032143,0.635137158
Manipur,Ukhrul,2018,1597.27313,216.9112857,51,1,52,15,50.06184125,0.439496234
Manipur,Ukhrul,2019,1084.113295,-296.248549,23,1,45,12,56.82225914,0.251920345
Manipur,Ukhrul,2020,1502.804194,122.4423501,42,0,56,36,37.45142512,0.407614661
Manipur,Ukhrul,2021,849.9720244,-530.3898197,15,0,44,19,30.28418999,0.084325642
Manipur,Ukhrul,2022,1285.664447,-94.69739689,31,2,61,28,56.83561382,0.512216784
Manipur,Ukhrul,2023,1198.106631,-182.2552133,33,0,74,28,41.49693222,0.329412374
Manipur,Ukhrul,2024,1680.34121,299.9793658,44,2,33,33,73.09392471,0.629792131
Manipur,Ukhrul,2025,1610.215989,229.8541449,42,2,54,22,60.94558868,0.55878066
Meghalaya,East Garo Hills,2010,5786.636709,1890.844679,64,40,55,71,166.650404,0.772979468
Meghalaya,East Garo Hills,2011,1803.865164,-2091.926866,15,3,44,13,69.40964042,0.020325203
Meghalaya,East Garo Hills,2012,2236.754842,-1659.037188,21,7,80,27,145.4630144,0.303762636
Meghalaya,East Garo Hills,2013,3018.324971,-877.467059,30,9,58,42,85.49712414,0.294599532
Meghalaya,East Garo Hills,2014,4245.330781,349.5387508,41,20,77,38,232.7657835,0.575570196
Meghalaya,East Garo Hills,2015,5226.632054,1330.840023,46,30,40,60,206.63313,0.574252651
Meghalaya,East Garo Hills,2016,3673.274162,-222.5178682,38,20,49,55,103.3876478,0.407365236
Meghalaya,East Garo Hills,2017,4385.83596,490.0439297,44,27,51,35,152.7916946,0.464683218
Meghalaya,East Garo Hills,2018,2782.393282,-1113.398748,26,9,56,27,83.01567925,0.219237184
Meghalaya,East Garo Hills,2019,4116.533484,220.7414539,38,20,41,31,154.8823725,0.351281404
Meghalaya,East Garo Hills,2020,5410.874477,1515.082447,50,34,39,46,155.7115211,0.540869571
Meghalaya,East Garo Hills,2021,4191.533863,295.7418324,41,22,62,56,183.4250654,0.546234145
Meghalaya,East Garo Hills,2022,6094.169991,2198.377961,51,34,60,35,373.9399685,0.744006197
Meghalaya,East Garo Hills,2023,3117.709653,-778.0823772,30,15,52,20,150.9159173,0.273681857
Meghalaya,East Garo Hills,2024,3497.789039,-398.0029917,29,22,55,18,171.4324256,0.334253571
Meghalaya,East Garo Hills,2025,2745.014051,-1150.777979,21,8,54,47,146.5338299,0.280377882
Meghalaya,East Khasi Hills,2010,3659.448693,727.2697597,50,13,62,120,212.3259813,0.800708113
Meghalaya,East Khasi Hills,2011,1016.837411,-1915.341522,2,0,45,43,24.97565957,0.073644268
Meghalaya,East Khasi Hills,2012,1445.545308,-1486.633626,12,1,80,33,55.41155312,0.251362842
Meghalaya,East Khasi Hills,2013,2551.199506,-380.9794277,35,7,63,61,90.15127858,0.443649778
Meghalaya,East Khasi Hills,2014,2879.870666,-52.30826743,36,13,49,41,131.7931367,0.455389524
Meghalaya,East Khasi Hills,2015,3462.370719,530.1917855,47,17,28,51,166.369674,0.525519795
Meghalaya,East Khasi Hills,2016,3235.975645,303.7967121,44,11,48,82,92.60887879,0.524675135
Meghalaya,East Khasi Hills,2017,3857.873929,925.6949959,58,13,28,50,139.2066567,0.526324002
Meghalaya,East Khasi Hills,2018,2537.966261,-394.2126725,37,4,52,46,87.51865977,0.363375312
Meghalaya,East Khasi Hills,2019,3150.454939,218.2760058,39,11,45,33,126.8350622,0.432478042
Meghalaya,East Khasi Hills,2020,4348.169363,1415.99043,54,26,30,55,146.3696523,0.644643068
Meghalaya,East Khasi Hills,2021,2643.240443,-288.9384904,33,8,43,43,106.4045104,0.364586002
Meghalaya,East Khasi Hills,2022,4180.037686,1247.858753,45,20,53,41,201.729014,0.667129841
Meghalaya,East Khasi Hills,2023,2510.719174,-421.4597591,34,7,52,44,79.57756632,0.36141853
Meghalaya,East Khasi Hills,2024,3102.38706,170.2081264,35,15,33,63,199.2040988,0.52719862
Meghalaya,East Khasi Hills,2025,2332.76613,-599.4128034,24,4,54,38,137.1497726,0.349655042
Meghalaya,Jaintia Hills,2010,2168.170802,330.0274681,48,3,63,22,85.85861382,0.443796094
Meghalaya,Jaintia Hills,2011,1316.622665,-521.5206692,18,1,55,49,50.61878905,0.237006497
Meghalaya,Jaintia Hills,2012,1685.948564,-152.1947697,34,2,80,31,57.51686771,0.365099915
Meghalaya,Jaintia Hills,2013,1649.49634,-188.6469935,37,1,48,29,50.97521342,0.209853367
Meghalaya,Jaintia Hills,2014,1725.354878,-112.7884556,39,3,65,24,52.83457675,0.305200532
Meghalaya,Jaintia Hills,2015,1708.253992,-129.8893419,28,1,34,41,56.46933086,0.213507276
Meghalaya,Jaintia Hills,2016,2146.031224,307.8878906,39,5,48,21,98.26766872,0.414815382
Meghalaya,Jaintia Hills,2017,2636.083196,797.9398619,63,6,51,48,111.4281147,0.779606342
Meghalaya,Jaintia Hills,2018,1619.179724,-218.9636104,31,2,40,23,74.57866405,0.189818047
Meghalaya,Jaintia Hills,2019,1838.849707,0.70637301,39,3,49,22,65.16473125,0.275486101
Meghalaya,Jaintia Hills,2020,1860.91287,22.76953583,45,1,57,50,63.22728348,0.444740143
Meghalaya,Jaintia Hills,2021,1501.313599,-336.8297344,33,1,43,43,55.77420565,0.248556436
Meghalaya,Jaintia Hills,2022,2303.724774,465.5814402,44,9,61,37,121.7530413,0.724049522
Meghalaya,Jaintia Hills,2023,1356.806055,-481.3372784,21,1,53,42,53.79545344,0.212264798
Meghalaya,Jaintia Hills,2024,2163.079377,324.9360431,43,5,54,38,131.47813,0.619677054
Meghalaya,Jaintia Hills,2025,1730.465574,-107.6777596,23,3,54,37,117.0301662,0.413763865
Meghalaya,North Garo Hills,2010,3557.159894,844.9557662,49,18,60,24,141.6937199,0.724885833
Meghalaya,North Garo Hills,2011,1867.731006,-844.473122,20,4,44,13,79.86575508,0.038459459
Meghalaya,North Garo Hills,2012,2441.898367,-270.3057611,36,11,80,17,159.9797821,0.506269185
Meghalaya,North Garo Hills,2013,1933.328361,-778.8757671,27,4,58,19,85.41264343,0.199839499
Meghalaya,North Garo Hills,2014,2484.658291,-227.5458371,33,11,77,24,239.4634476,0.627696923
Meghalaya,North Garo Hills,2015,2974.224551,262.0204227,40,13,40,29,126.9454536,0.526400555
Meghalaya,North Garo Hills,2016,2500.313189,-211.8909389,39,7,59,25,82.1911211,0.406425596
Meghalaya,North Garo Hills,2017,3051.358953,339.1548252,39,12,51,20,164.5615749,0.509661513
Meghalaya,North Garo Hills,2018,2106.927831,-605.2762972,29,6,45,19,105.3461075,0.215015129
Meghalaya,North Garo Hills,2019,3022.631852,310.4277239,36,18,41,22,106.4141808,0.478762938
Meghalaya,North Garo Hills,2020,3536.640435,824.4363068,53,20,39,23,116.9689617,0.647242889
Meghalaya,North Garo Hills,2021,2440.197379,-272.0067489,32,6,38,19,108.2083492,0.237447718
Meghalaya,North Garo Hills,2022,3585.655969,873.4518413,48,19,60,23,186.4127731,0.765807534
Meghalaya,North Garo Hills,2023,2782.337044,70.13291595,40,13,52,18,130.5356407,0.450979907
Meghalaya,North Garo Hills,2024,2952.566644,240.3625165,36,20,59,30,127.5705318,0.662810166
Meghalaya,North Garo Hills,2025,2157.636281,-554.5678464,28,4,58,25,64.48523808,0.265541706
Meghalaya,Ri Bhoi,2010,1938.678711,460.5672089,52,2,73,70,75.17032909,0.85400225
Meghalaya,Ri Bhoi,2011,968.3647602,-509.7467417,13,0,44,18,32.28621678,0.069622604
Meghalaya,Ri Bhoi,2012,1035.481713,-442.6297892,26,0,80,18,38.99141307,0.266935575
Meghalaya,Ri Bhoi,2013,1569.761924,91.65042213,47,0,48,30,40.41384621,0.38412288
Meghalaya,Ri Bhoi,2014,1479.351364,1.239861914,35,2,48,27,105.8886658,0.564603086
Meghalaya,Ri Bhoi,2015,1573.995968,95.88446606,38,1,28,52,51.5657032,0.426857804
Meghalaya,Ri Bhoi,2016,1412.23107,-65.88043197,40,0,52,55,46.72036409,0.427031667
Meghalaya,Ri Bhoi,2017,1556.385364,78.27386163,37,1,46,29,52.42527809,0.411903232
Meghalaya,Ri Bhoi,2018,1136.585661,-341.5258411,25,0,54,13,46.28603945,0.198224375
Meghalaya,Ri Bhoi,2019,1401.980786,-76.13071601,27,3,51,16,77.32655449,0.486899935
Meghalaya,Ri Bhoi,2020,1795.093747,316.9822448,39,3,32,23,90.92382965,0.595378267
Meghalaya,Ri Bhoi,2021,1316.316542,-161.7949596,33,0,56,35,30.6055964,0.299307346
Meghalaya,Ri Bhoi,2022,1796.511084,318.3995819,47,2,53,30,77.72113762,0.632800726
Meghalaya,Ri Bhoi,2023,1526.398514,48.2870121,43,0,53,30,37.08254261,0.368231095
Meghalaya,Ri Bhoi,2024,1729.3988,251.2872978,49,3,53,22,79.42385025,0.665753466
Meghalaya,Ri Bhoi,2025,1413.248024,-64.86347762,34,2,55,38,80.7151329,0.547844093
Meghalaya,South Garo Hills,2010,9568.769927,3542.001769,65,64,55,71,289.4119916,0.795788758
Meghalaya,South Garo Hills,2011,1824.849563,-4201.918595,4,3,44,23,93.34517384,0.030364372
Meghalaya,South Garo Hills,2012,2217.742599,-3809.02556,7,6,78,19,141.9922876,0.207229826
Meghalaya,South Garo Hills,2013,4905.589995,-1121.178163,33,32,58,42,156.2972922,0.397774268
Meghalaya,South Garo Hills,2014,7228.526592,1201.758433,43,39,77,32,370.3778129,0.614650574
Meghalaya,South Garo Hills,2015,8936.035898,2909.267739,51,49,40,57,425.3910904,0.636198005
Meghalaya,South Garo Hills,2016,5966.420275,-60.3478834,40,40,49,55,199.7255869,0.477810333
Meghalaya,South Garo Hills,2017,6979.114405,952.3462466,45,43,51,35,258.6467619,0.485165541
Meghalaya,South Garo Hills,2018,4213.016176,-1813.751983,26,26,56,28,134.8262272,0.286770177
Meghalaya,South Garo Hills,2019,6181.177618,154.4094594,37,35,47,31,246.9371128,0.39012952
Meghalaya,South Garo Hills,2020,8499.002944,2472.234786,50,47,59,54,298.1637573,0.651216897
Meghalaya,South Garo Hills,2021,6379.245668,352.4775095,41,41,45,57,294.0397902,0.511491094
Meghalaya,South Garo Hills,2022,9212.461324,3185.693166,52,50,61,35,609.3163128,0.728614923
Meghalaya,South Garo Hills,2023,4657.818624,-1368.949534,32,31,52,27,170.7051487,0.317238435
Meghalaya,South Garo Hills,2024,5461.795868,-564.972291,34,34,55,36,236.3619423,0.411415254
Meghalaya,South Garo Hills,2025,4196.72306,-1830.045099,25,25,54,50,209.4896946,0.366813378
Meghalaya,South West Garo Hills,2010,2885.879635,-529.0709946,32,9,83,22,173.6549377,0.44529535
Meghalaya,South West Garo Hills,2011,2163.438897,-1251.511732,25,10,44,15,103.4387945,0.127685541
Meghalaya,South West Garo Hills,2012,2906.64535,-508.3052794,30,17,80,17,209.4961853,0.44837235
Meghalaya,South West Garo Hills,2013,1614.427813,-1800.522816,15,6,58,17,94.99779002,0.110832873
Meghalaya,South West Garo Hills,2014,2368.324547,-1046.626082,19,11,77,12,388.0611877,0.393067196
Meghalaya,South West Garo Hills,2015,2691.561907,-723.3887225,25,11,48,32,167.3854523,0.344445538
Meghalaya,South West Garo Hills,2016,3736.888169,321.9375397,43,23,59,15,236.6469676,0.481629671
Meghalaya,South West Garo Hills,2017,4786.947118,1371.996489,53,31,53,15,183.3759867,0.558189244
Meghalaya,South West Garo Hills,2018,2345.415178,-1069.535451,29,11,67,13,88.92270915,0.232238814
Meghalaya,South West Garo Hills,2019,4111.676813,696.726184,44,22,51,16,195.4128215,0.448042544
Meghalaya,South West Garo Hills,2020,5321.995836,1907.045207,49,37,66,23,191.3980815,0.721349913
