Country,state,district,year,pop_density
India,Bihar,Madhepura,2005,976.09
India,Bihar,Madhubani,2005,1112.75
India,Bihar,Munger,2005,940.85
India,Bihar,Muzaffarpur,2005,1379.51
India,Bihar,Nalanda,2005,1180.3
India,Bihar,Nawada,2005,852.89
India,Bihar,PashchimChamparan,2005,659.79
India,Bihar,Patna,2005,1696.82
India,Bihar,PurbaChamparan,2005,1139.03
India,Bihar,Purnia,2005,915.41
India,Bihar,Rohtas,2005,734.92
India,Bihar,Saharsa,2005,1042.63
India,Bihar,Samastipur,2005,1460.4
India,Bihar,Saran,2005,1379.55
India,Bihar,Sheikhpura,2005,966.23
India,Bihar,Sheohar,2005,1319.36
India,Bihar,Sitamarhi,2005,1404.52
India,Bihar,Siwan,2005,1367.24
India,Bihar,Supaul,2005,849.43
India,Bihar,Vaishali,2005,1606.84
India,Chandigarh,Chandigarh,2005,6494.46
India,Chhattisgarh,Balod,2005,215.67
India,Chhattisgarh,BalodaBazar,2005,242.58
India,Chhattisgarh,Balrampur,2005,102.21
India,Chhattisgarh,Balrampur,2005,301.31
India,Chhattisgarh,Bastar,2005,134.53
India,Chhattisgarh,Bemetara,2005,259.67
India,Chhattisgarh,Bijapur,2005,28.87
India,Chhattisgarh,Bijapur,2005,237.28
India,Chhattisgarh,Bilaspur,2005,349.56
India,Chhattisgarh,Bilaspur,2005,70
India,Chhattisgarh,Dantewada,2005,92.49
India,Chhattisgarh,Dhamtari,2005,192.8
India,Chhattisgarh,Durg,2005,608.6
India,Chhattisgarh,Gariaband,2005,87.22
India,Chhattisgarh,Janjgir-Champa,2005,402.86
India,Chhattisgarh,Jashpur,2005,139.63
India,Chhattisgarh,Kabeerdham,2005,166.58
India,Chhattisgarh,Kondagaon,2005,105.23
India,Chhattisgarh,Korba,2005,172.79
India,Chhattisgarh,Koriya,2005,100.63
India,Chhattisgarh,Mahasamund,2005,195.8
India,Chhattisgarh,Mungeli,2005,249.43
India,Chhattisgarh,Narayanpur,2005,26.41
India,Chhattisgarh,Raigarh,2005,190.24
India,Chhattisgarh,Raigarh,2005,342.57
India,Chhattisgarh,Raipur,2005,586.56
India,Chhattisgarh,Rajnandgaon,2005,177.17
India,Chhattisgarh,Sukma,2005,44.2
India,Chhattisgarh,Surajpur,2005,133.92
India,Chhattisgarh,Surguja,2005,197.55
India,Chhattisgarh,UttarBastarKanker,2005,105.02
India,DadraandNagarHaveli,DadraandNagarHaveli,2005,669.08
India,DamanandDiu,Daman,2005,1239.83
India,DamanandDiu,Diu,2005,2185.01
India,Goa,NorthGoa,2005,470.42
India,Goa,SouthGoa,2005,327.17
India,Gujarat,Ahmadabad,2005,882.79
India,Gujarat,Amreli,2005,205.62
India,Gujarat,Anand,2005,822.58
India,Gujarat,Aravalli,2005,315.69
India,Gujarat,BanasKantha,2005,263.1
India,Gujarat,Bharuch,2005,276.52
India,Gujarat,Bhavnagar,2005,330.98
India,Gujarat,Botad,2005,263.23
India,Gujarat,ChhotaUdaipur,2005,299.48
India,Gujarat,Dahod,2005,496.33
India,Gujarat,DevbhumiDwarka,2005,166.97
India,Gujarat,Gandhinagar,2005,512.48
India,Gujarat,GirSomnath,2005,462.03
India,Gujarat,Jamnagar,2005,194.66
India,Gujarat,Junagadh,2005,256.68
India,Gujarat,Kachchh,2005,42.74
India,Gujarat,Kheda,2005,492.36
India,Gujarat,Mahesana,2005,457
India,Gujarat,Mahisagar,2005,375.2
India,Gujarat,Morbi,2005,178.62
India,Gujarat,Narmada,2005,198.58
