District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Rainfall Hazard Index (Tier-1),State
Galle,2017,3278.541062,-93.38917911,30,7,18,26,141.1940395,0.572755607,Southern
Galle,2018,3582.102044,210.1718033,40,2,9,58,61.52856445,0.427163032,Southern
Galle,2019,4301.362072,929.4318315,49,13,17,40,140.1203962,0.726373559,Southern
Galle,2020,2909.176552,-462.7536886,24,6,11,30,74.80589948,0.381283543,Southern
Galle,2021,3822.250131,450.3198897,35,8,12,18,82.37306431,0.45652866,Southern
Galle,2022,3556.027799,184.0975578,29,10,10,27,92.53567069,0.460499602,Southern
Galle,2023,5281.521158,1909.590917,60,19,12,92,93.86825126,0.825814903,Southern
Galle,2024,3198.748984,-173.1812574,35,1,14,24,52.41705322,0.36398594,Southern
Galle,2025,3586.862755,214.9325137,38,7,6,30,88.27717808,0.420675252,Southern
Galle,2026,116.1362265,-3255.794014,0,0,10,4,22.30048479,0.039215686,Southern
Gampaha,2010,3087.520941,668.5702508,55,2,16,21,62.59608459,0.5475169,Western
Gampaha,2011,2289.590127,-129.3605624,34,0,12,23,48.62739944,0.340419446,Western
Gampaha,2012,2375.981292,-42.96939807,31,3,17,39,55.74414444,0.489534854,Western
Gampaha,2013,2365.782005,-53.16868501,27,1,21,17,92.85214233,0.497571313,Western
Gampaha,2014,2774.226626,355.275936,49,0,34,25,47.50218582,0.564563037,Western
Gampaha,2015,2543.791846,124.8411561,32,0,22,46,43.06964874,0.449797719,Western
Gampaha,2016,1992.031584,-426.9191056,24,7,16,22,87.99841309,0.576130045,Western
Gampaha,2017,2568.038333,149.0876432,40,0,21,15,42.77191925,0.406476276,Western
Gampaha,2018,2629.22081,210.2701198,37,0,16,28,47.71707153,0.402634925,Western
Gampaha,2019,2576.088936,157.1382458,40,0,19,29,43.9296875,0.423062898,Western
Gampaha,2020,2054.387112,-364.5635779,19,3,27,33,55.80239105,0.494821603,Western
Gampaha,2021,2960.541982,541.5912916,43,5,20,23,82.04046631,0.652022184,Western
Gampaha,2022,2416.235747,-2.714943179,32,0,28,20,48.92550659,0.446985995,Western
Gampaha,2023,3240.651496,821.7008062,56,3,10,87,68.39587402,0.683095085,Western
Gampaha,2024,2301.065601,-117.8850887,30,2,17,29,59.57310486,0.44783648,Western
Gampaha,2025,2894.934054,475.983364,39,4,24,25,78.59660339,0.636832958,Western
Gampaha,2026,52.07323718,-2366.877453,0,0,17,2,18.74244499,0.048611111,Western
Hambantota,2010,2221.464931,315.5621758,46,1,22,31,54.74571737,0.650242529,Southern
Hambantota,2011,2124.364782,218.4620264,41,1,15,25,80.08054097,0.5860071,Southern
Hambantota,2012,1956.31521,50.41245489,37,1,17,48,75.75787862,0.642321998,Southern
Hambantota,2013,1887.605892,-18.29686314,29,0,15,18,46.16135152,0.339177705,Southern
Hambantota,2014,1864.078055,-41.82469976,38,0,20,28,46.73430379,0.463618165,Southern
Hambantota,2015,1978.635641,72.73288578,34,0,16,36,45.30914815,0.415963718,Southern
Hambantota,2016,1402.587697,-503.3150585,23,1,15,20,53.44341532,0.405458908,Southern
Hambantota,2017,1875.203952,-30.69880272,34,1,18,17,79.74846395,0.577508446,Southern
Hambantota,2018,1927.411356,21.50860086,21,0,14,28,39.52276103,0.312017278,Southern
Hambantota,2019,2247.404443,341.5016878,42,0,12,41,48.27854919,0.413175513,Southern
Hambantota,2020,1554.467871,-351.4348839,18,0,18,32,39.02979533,0.35172124,Southern
Hambantota,2021,2160.031957,254.1292018,39,0,12,19,36.70116679,0.309464999,Southern
Hambantota,2022,1936.728624,30.82586912,35,0,13,25,43.97238159,0.33835603,Southern
Hambantota,2023,2902.266623,996.3638681,67,2,12,69,53.3339742,0.768679407,Southern
Hambantota,2024,1919.245676,13.34292106,32,1,17,21,60.86940511,0.51384342,Southern
Hambantota,2025,2351.304291,445.4015364,51,2,11,29,79.76442973,0.656755374,Southern
Hambantota,2026,91.22983502,-1814.67292,1,0,15,4,24.22268168,0.060606061,Southern
Jaffna,2010,1434.933145,258.5127185,39,4,92,23,75.55389404,0.718066111,Northern
Jaffna,2011,1558.482817,382.0623908,51,5,69,13,80.08695984,0.658829092,Northern
Jaffna,2012,1243.035665,66.61523922,36,5,93,14,154.6092224,0.752548833,Northern
Jaffna,2013,839.2550322,-337.165394,28,1,82,9,54.7556839,0.38404258,Northern
Jaffna,2014,1291.617432,115.1970054,45,2,71,17,52.30527878,0.550564214,Northern
Jaffna,2015,1548.969981,372.5495551,44,5,75,14,82.52126312,0.659908589,Northern
Jaffna,2016,636.2640888,-540.1563375,16,1,81,9,55.74492645,0.320886008,Northern
Jaffna,2017,1013.220247,-163.2001788,29,3,81,20,58.23955154,0.542751183,Northern
Jaffna,2018,1058.190951,-118.2294752,29,2,76,15,54.89460754,0.468840849,Northern
Jaffna,2019,1046.614616,-129.8058107,26,3,63,12,63.32920837,0.43387805,Northern
Jaffna,2020,1125.16432,-51.2561058,28,3,63,10,93.88722992,0.479207148,Northern
Jaffna,2021,1649.820689,473.400263,46,9,63,21,90.20748901,0.798279222,Northern
Jaffna,2022,1210.473262,34.05283619,46,1,79,10,67.00053406,0.506095157,Northern
Jaffna,2023,1557.698001,381.2775744,46,6,93,17,81.04718018,0.750176602,Northern
Jaffna,2024,1285.62201,109.2015839,37,5,72,14,77.19483185,0.593017431,Northern
Jaffna,2025,1411.783503,235.363077,40,4,71,11,149.6615448,0.682717494,Northern
Jaffna,2026,88.00148487,-1088.418941,2,0,18,4,47.81067657,0,Northern
Kalutara,2010,4189.442792,803.6896525,59,12,23,37,86.25247192,0.810773722,Western
Kalutara,2011,3159.607632,-226.1455071,28,4,13,33,63.47299703,0.452373945,Western
Kalutara,2012,3214.850471,-170.9026688,29,6,17,42,73.84106445,0.565053843,Western
Kalutara,2013,3295.617155,-90.13598507,31,7,14,20,73.4858195,0.485716677,Western
Kalutara,2014,3810.380337,424.6271979,45,8,18,31,72.65803019,0.62389006,Western
Kalutara,2015,3605.135744,219.3826042,35,4,16,36,67.00023397,0.530211518,Western
Kalutara,2016,2637.33837,-748.4147699,20,9,12,30,116.4336344,0.540479077,Western
Kalutara,2017,3384.483515,-1.2696243,31,7,19,32,117.9394633,0.647869453,Western
Kalutara,2018,3667.404994,281.6518547,43,2,10,57,62.71836853,0.529574615,Western
Kalutara,2019,4144.460819,758.7076796,46,9,17,40,123.5350749,0.751021764,Western
Kalutara,2020,2848.380039,-537.3731003,20,4,11,33,91.02307129,0.446312821,Western
Kalutara,2021,3933.422778,547.6696386,35,10,12,22,89.596639,0.566267988,Western
Kalutara,2022,3634.835025,249.0818849,31,10,12,27,104.6168111,0.58597321,Western
Kalutara,2023,5043.262019,1657.508879,64,14,10,44,87.57117716,0.773093984,Western
Kalutara,2024,3165.501086,-220.252054,36,3,17,31,60.45259603,0.489508213,Western
Kalutara,2025,3724.845342,339.0922021,35,6,6,24,75.36844889,0.435910489,Western
Kalutara,2026,98.83525506,-3286.917885,0,0,10,4,21.20420329,0.039215686,Western
Kandy,2010,2864.775232,540.8411746,50,3,17,21,61.35610199,0.576077187,Central
Kandy,2011,2628.937515,305.0034579,42,4,13,30,63.77940369,0.567060055,Central
Kandy,2012,2360.455646,36.52158899,40,6,17,39,95.73344421,0.736270261,Central
Kandy,2013,2400.098531,76.16447416,31,3,15,18,84.06732178,0.527577334,Central
Kandy,2014,2809.461614,485.5275575,53,4,33,28,82.04768372,0.794015769,Central
Kandy,2015,2408.510713,84.57665588,31,1,21,51,58.19623566,0.531849609,Central
Kandy,2016,1687.590999,-636.3430582,20,4,14,22,72.37139893,0.452009834,Central
Kandy,2017,2448.223614,124.2895567,36,0,21,19,43.3548317,0.399606062,Central
Kandy,2018,2368.533177,44.5991205,25,0,10,55,35.77570343,0.357750865,Central
Kandy,2019,2408.228891,84.29483392,38,0,15,23,49.74271393,0.38917884,Central
Kandy,2020,2053.924507,-270.0095504,23,0,23,30,42.0349884,0.374886507,Central
Kandy,2021,2668.845406,344.9113486,43,0,11,18,46.53437805,0.370768011,Central
